checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
between 0 and 200,9,all paid,used car,5129,less 100,greater 7 years,2,female div/dep/mar,none,4,no known property,74,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,bad
between 0 and 200,16,critical/other existing credit,new car,1175,less 100,unemployed,2,male single,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes,good
less 0,12,existing paid,radio/tv,674,between 100 and 500,between 4 and 7 years,4,male mar/wid,none,1,life insurance,20,none,own,1,skilled,1,none,yes,bad
between 0 and 200,18,no credits/all paid,furniture/equipment,3244,less 100,between 1 and 4 years,1,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
no checking,24,existing paid,business,4591,greater 1000,between 1 and 4 years,2,male single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
between 0 and 200,48,no credits/all paid,business,3844,between 100 and 500,between 4 and 7 years,4,male single,none,4,no known property,34,none,for free,1,unskilled resident,2,none,yes,bad
between 0 and 200,27,existing paid,business,3915,less 100,between 1 and 4 years,4,male single,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
no checking,6,existing paid,radio/tv,2108,less 100,between 4 and 7 years,2,male mar/wid,none,2,real estate,29,none,rent,1,skilled,1,none,yes,good
between 0 and 200,45,existing paid,radio/tv,3031,between 100 and 500,between 1 and 4 years,4,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad
between 0 and 200,9,critical/other existing credit,education,1501,less 100,greater 7 years,2,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,6,critical/other existing credit,radio/tv,1382,less 100,between 1 and 4 years,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good
between 0 and 200,12,existing paid,furniture/equipment,951,between 100 and 500,less 1 year,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad
between 0 and 200,24,existing paid,used car,2760,no known savings,greater 7 years,4,male single,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,good
between 0 and 200,18,delayed previously,furniture/equipment,4297,less 100,greater 7 years,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,9,critical/other existing credit,education,936,between 500 and 1000,greater 7 years,4,male single,none,2,car,52,none,own,2,skilled,1,yes,yes,good
less 0,12,existing paid,new car,1168,less 100,between 1 and 4 years,4,male mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,good
no checking,27,delayed previously,business,5117,less 100,between 4 and 7 years,3,male single,none,4,car,26,none,own,2,skilled,1,none,yes,good
less 0,12,existing paid,retraining,902,less 100,between 4 and 7 years,4,male mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad
no checking,12,critical/other existing credit,new car,1495,less 100,greater 7 years,4,male single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,good
less 0,30,critical/other existing credit,used car,10623,less 100,greater 7 years,3,male single,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
no checking,12,critical/other existing credit,furniture/equipment,1935,less 100,greater 7 years,4,male single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,good
between 0 and 200,12,critical/other existing credit,domestic appliance,1424,less 100,between 4 and 7 years,4,male single,none,3,life insurance,26,none,own,1,skilled,1,none,yes,good
less 0,24,existing paid,business,6568,less 100,between 1 and 4 years,2,male mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,good
no checking,12,existing paid,used car,1413,greater 1000,between 4 and 7 years,3,male single,none,2,life insurance,55,none,own,1,skilled,1,none,no,good
no checking,9,critical/other existing credit,radio/tv,3074,no known savings,between 1 and 4 years,1,male single,none,2,real estate,33,none,own,2,skilled,2,none,yes,good
no checking,36,existing paid,radio/tv,3835,no known savings,greater 7 years,2,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,good
less 0,27,no credits/all paid,business,5293,less 100,unemployed,2,male single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad
greater 200,30,delayed previously,business,1908,less 100,greater 7 years,4,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,36,critical/other existing credit,radio/tv,3342,no known savings,greater 7 years,4,male single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
between 0 and 200,6,critical/other existing credit,retraining,932,no known savings,between 4 and 7 years,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
less 0,18,no credits/all paid,business,3104,less 100,between 4 and 7 years,3,male single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,good
greater 200,36,existing paid,radio/tv,3913,less 100,between 1 and 4 years,2,male single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,good
less 0,24,existing paid,furniture/equipment,3021,less 100,between 1 and 4 years,2,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
no checking,10,existing paid,new car,1364,less 100,between 1 and 4 years,2,female div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,good
between 0 and 200,12,existing paid,radio/tv,625,less 100,less 1 year,4,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,good
less 0,12,existing paid,education,1200,no known savings,between 1 and 4 years,4,female div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good
no checking,12,existing paid,radio/tv,707,less 100,between 1 and 4 years,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good
no checking,24,delayed previously,business,2978,no known savings,between 1 and 4 years,4,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,good
no checking,15,existing paid,used car,4657,less 100,between 1 and 4 years,3,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
no checking,36,no credits/all paid,repairs,2613,less 100,between 1 and 4 years,4,male single,none,2,car,27,none,own,2,skilled,1,none,yes,good
between 0 and 200,48,existing paid,radio/tv,10961,greater 1000,between 4 and 7 years,1,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,bad
less 0,12,existing paid,furniture/equipment,7865,less 100,greater 7 years,4,male single,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,9,existing paid,radio/tv,1478,less 100,between 4 and 7 years,4,male single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
less 0,24,existing paid,furniture/equipment,3149,less 100,less 1 year,4,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,good
greater 200,36,existing paid,radio/tv,4210,less 100,between 1 and 4 years,4,male single,none,2,car,26,none,own,1,skilled,1,none,yes,bad
no checking,9,existing paid,new car,2507,between 500 and 1000,greater 7 years,2,male single,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,good
no checking,12,existing paid,radio/tv,2141,between 100 and 500,between 4 and 7 years,3,male single,none,1,no known property,35,none,own,1,skilled,1,none,yes,good
between 0 and 200,18,existing paid,radio/tv,866,less 100,between 1 and 4 years,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,good
no checking,4,critical/other existing credit,radio/tv,1544,less 100,between 4 and 7 years,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,good
less 0,24,existing paid,radio/tv,1823,less 100,unemployed,4,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,bad
between 0 and 200,6,existing paid,new car,14555,no known savings,unemployed,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,bad
between 0 and 200,21,existing paid,business,2767,between 100 and 500,greater 7 years,4,male div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,bad
no checking,12,critical/other existing credit,radio/tv,1291,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,good
less 0,30,existing paid,radio/tv,2522,less 100,greater 7 years,1,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,good
less 0,24,existing paid,new car,915,no known savings,greater 7 years,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,bad
no checking,6,existing paid,radio/tv,1595,less 100,between 4 and 7 years,3,male single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,good
less 0,48,no credits/all paid,used car,4605,less 100,greater 7 years,3,male single,none,4,no known property,24,none,for free,2,skilled,2,none,yes,bad
no checking,12,critical/other existing credit,business,1185,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes,good
no checking,12,all paid,retraining,3447,between 500 and 1000,between 1 and 4 years,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,good
no checking,24,existing paid,business,1258,less 100,between 4 and 7 years,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,radio/tv,717,less 100,greater 7 years,4,male single,none,4,real estate,52,none,own,3,skilled,1,none,yes,good
no checking,6,no credits/all paid,new car,1204,between 100 and 500,between 1 and 4 years,4,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,no,good
greater 200,24,existing paid,furniture/equipment,1925,less 100,between 1 and 4 years,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
no checking,18,existing paid,radio/tv,433,less 100,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,bad
less 0,6,critical/other existing credit,new car,666,greater 1000,between 4 and 7 years,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,good
greater 200,12,existing paid,furniture/equipment,2251,less 100,between 1 and 4 years,1,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,30,existing paid,new car,2150,less 100,between 1 and 4 years,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,bad
no checking,24,delayed previously,furniture/equipment,4151,between 100 and 500,between 1 and 4 years,2,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,good
between 0 and 200,9,existing paid,furniture/equipment,2030,no known savings,between 4 and 7 years,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,good
between 0 and 200,60,delayed previously,radio/tv,7418,no known savings,between 1 and 4 years,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,good
no checking,24,critical/other existing credit,radio/tv,2684,less 100,between 1 and 4 years,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,good
less 0,12,all paid,radio/tv,2149,less 100,between 1 and 4 years,4,male div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes,bad
no checking,15,existing paid,used car,3812,between 100 and 500,less 1 year,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,good
no checking,11,critical/other existing credit,radio/tv,1154,between 100 and 500,unemployed,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,good
less 0,12,existing paid,furniture/equipment,1657,less 100,between 1 and 4 years,2,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
less 0,24,existing paid,radio/tv,1603,less 100,greater 7 years,4,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,good
less 0,18,critical/other existing credit,new car,5302,less 100,greater 7 years,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,critical/other existing credit,education,2748,less 100,greater 7 years,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,good
no checking,10,critical/other existing credit,new car,1231,less 100,greater 7 years,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,good
between 0 and 200,15,existing paid,radio/tv,802,less 100,greater 7 years,4,male single,none,3,car,37,none,own,1,skilled,2,none,yes,bad
no checking,36,critical/other existing credit,business,6304,no known savings,greater 7 years,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,1533,less 100,less 1 year,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
less 0,14,existing paid,new car,8978,less 100,greater 7 years,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
no checking,24,existing paid,radio/tv,999,no known savings,greater 7 years,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,new car,2662,no known savings,between 4 and 7 years,4,male single,none,3,life insurance,32,none,own,1,skilled,1,none,no,good
no checking,12,critical/other existing credit,furniture/equipment,1402,between 500 and 1000,between 4 and 7 years,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,48,all paid,new car,12169,no known savings,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,48,existing paid,radio/tv,3060,less 100,between 4 and 7 years,4,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes,bad
less 0,30,existing paid,repairs,11998,less 100,less 1 year,1,male div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,bad
no checking,9,existing paid,radio/tv,2697,less 100,between 1 and 4 years,1,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes,good
no checking,18,critical/other existing credit,radio/tv,2404,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,good
less 0,12,existing paid,furniture/equipment,1262,no known savings,greater 7 years,2,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,good
no checking,6,existing paid,furniture/equipment,4611,less 100,less 1 year,1,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,bad
no checking,24,existing paid,radio/tv,1901,between 100 and 500,between 1 and 4 years,4,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,15,critical/other existing credit,used car,3368,greater 1000,greater 7 years,3,male single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,1574,less 100,between 1 and 4 years,4,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes,good
greater 200,18,all paid,radio/tv,1445,no known savings,between 4 and 7 years,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,good
no checking,15,critical/other existing credit,furniture/equipment,1520,no known savings,greater 7 years,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,good
between 0 and 200,24,critical/other existing credit,new car,3878,between 100 and 500,less 1 year,4,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,good
less 0,47,existing paid,new car,10722,less 100,less 1 year,1,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,good
less 0,48,existing paid,used car,4788,less 100,between 4 and 7 years,4,male single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,good
between 0 and 200,48,delayed previously,other,7582,between 100 and 500,unemployed,2,male single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,12,existing paid,radio/tv,1092,less 100,between 1 and 4 years,4,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,good
less 0,24,delayed previously,radio/tv,1024,less 100,less 1 year,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,bad
no checking,12,existing paid,business,1076,less 100,between 1 and 4 years,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,good
between 0 and 200,36,existing paid,used car,9398,less 100,less 1 year,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,24,critical/other existing credit,used car,6419,less 100,greater 7 years,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
greater 200,42,critical/other existing credit,used car,4796,less 100,greater 7 years,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,good
no checking,48,critical/other existing credit,business,7629,no known savings,greater 7 years,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good
between 0 and 200,48,existing paid,furniture/equipment,9960,less 100,less 1 year,1,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
no checking,12,existing paid,used car,4675,no known savings,less 1 year,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,good
no checking,10,existing paid,new car,1287,no known savings,greater 7 years,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,good
no checking,18,existing paid,furniture/equipment,2515,less 100,between 1 and 4 years,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,good
between 0 and 200,21,critical/other existing credit,furniture/equipment,2745,greater 1000,between 4 and 7 years,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
no checking,6,existing paid,new car,672,less 100,unemployed,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,good
between 0 and 200,36,no credits/all paid,radio/tv,3804,less 100,between 1 and 4 years,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
greater 200,24,critical/other existing credit,new car,1344,no known savings,between 4 and 7 years,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,bad
less 0,10,critical/other existing credit,new car,1038,less 100,between 4 and 7 years,4,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,good
no checking,48,critical/other existing credit,new car,10127,between 500 and 1000,between 1 and 4 years,2,male single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,bad
no checking,6,existing paid,furniture/equipment,1543,greater 1000,between 1 and 4 years,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes,good
no checking,30,existing paid,used car,4811,no known savings,between 4 and 7 years,2,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,good
less 0,12,existing paid,radio/tv,727,between 100 and 500,less 1 year,4,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,bad
between 0 and 200,8,existing paid,furniture/equipment,1237,less 100,between 1 and 4 years,3,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,bad
between 0 and 200,9,existing paid,new car,276,less 100,between 1 and 4 years,4,male mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,good
between 0 and 200,48,existing paid,other,5381,no known savings,unemployed,3,male single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,good
no checking,24,existing paid,furniture/equipment,5511,between 100 and 500,between 1 and 4 years,4,male single,none,1,car,25,stores,own,1,skilled,1,none,yes,good
greater 200,24,existing paid,furniture/equipment,3749,less 100,less 1 year,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,new car,685,less 100,between 4 and 7 years,2,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,bad
greater 200,4,existing paid,new car,1494,no known savings,less 1 year,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,good
less 0,36,all paid,furniture/equipment,2746,less 100,greater 7 years,4,male single,none,4,car,31,bank,own,1,skilled,1,none,yes,bad
less 0,12,existing paid,furniture/equipment,708,less 100,between 1 and 4 years,2,male single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,good
between 0 and 200,24,existing paid,furniture/equipment,4351,no known savings,between 1 and 4 years,1,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,good
no checking,12,critical/other existing credit,education,701,less 100,between 1 and 4 years,4,male single,none,2,car,32,none,own,2,skilled,1,none,yes,good
less 0,15,delayed previously,furniture/equipment,3643,less 100,greater 7 years,1,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,good
between 0 and 200,30,critical/other existing credit,new car,4249,less 100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
less 0,24,existing paid,radio/tv,1938,less 100,less 1 year,4,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,none,yes,bad
less 0,24,existing paid,used car,2910,less 100,between 4 and 7 years,2,male single,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,18,existing paid,furniture/equipment,2659,greater 1000,between 1 and 4 years,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,good
no checking,18,critical/other existing credit,new car,1028,less 100,between 1 and 4 years,4,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes,good
less 0,8,critical/other existing credit,new car,3398,less 100,between 4 and 7 years,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,good
no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,greater 7 years,2,male single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,good
no checking,24,existing paid,new car,1525,greater 1000,between 4 and 7 years,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good
greater 200,36,existing paid,radio/tv,4473,less 100,greater 7 years,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,good
between 0 and 200,6,existing paid,radio/tv,1068,less 100,greater 7 years,4,male single,none,4,car,28,none,own,1,skilled,2,none,yes,good
less 0,24,critical/other existing credit,used car,6615,less 100,unemployed,2,male single,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,18,critical/other existing credit,education,1864,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,bad
between 0 and 200,60,existing paid,new car,7408,between 100 and 500,less 1 year,4,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
no checking,48,critical/other existing credit,used car,11590,between 100 and 500,between 1 and 4 years,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad
less 0,24,no credits/all paid,furniture/equipment,4110,less 100,greater 7 years,3,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad
less 0,6,critical/other existing credit,furniture/equipment,3384,less 100,between 1 and 4 years,1,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
between 0 and 200,13,existing paid,radio/tv,2101,less 100,less 1 year,2,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,good
less 0,15,existing paid,domestic appliance,1275,no known savings,between 1 and 4 years,4,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,bad
less 0,24,existing paid,furniture/equipment,4169,less 100,between 1 and 4 years,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good
between 0 and 200,10,existing paid,furniture/equipment,1521,less 100,between 1 and 4 years,4,male div/sep,none,2,car,31,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,24,critical/other existing credit,education,5743,less 100,less 1 year,2,female div/dep/mar,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,good
less 0,21,existing paid,furniture/equipment,3599,less 100,between 4 and 7 years,1,female div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,good
between 0 and 200,18,existing paid,radio/tv,3213,between 500 and 1000,less 1 year,1,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes,good
between 0 and 200,18,existing paid,business,4439,less 100,greater 7 years,1,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
greater 200,10,existing paid,new car,3949,less 100,less 1 year,1,male single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,good
no checking,15,critical/other existing credit,radio/tv,1459,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,13,critical/other existing credit,radio/tv,882,less 100,less 1 year,4,male single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,good
between 0 and 200,24,existing paid,radio/tv,3758,between 500 and 1000,unemployed,1,female div/dep/mar,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,good
no checking,6,delayed previously,business,1743,between 100 and 500,between 1 and 4 years,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,good
between 0 and 200,9,critical/other existing credit,education,1136,greater 1000,greater 7 years,4,male single,none,3,no known property,32,none,for free,2,skilled,2,none,yes,bad
no checking,9,existing paid,domestic appliance,1236,less 100,less 1 year,1,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,9,existing paid,furniture/equipment,959,less 100,between 1 and 4 years,1,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,bad
no checking,18,critical/other existing credit,used car,3229,no known savings,unemployed,2,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,12,no credits/all paid,radio/tv,6199,less 100,between 1 and 4 years,4,male single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
no checking,10,existing paid,education,727,between 500 and 1000,greater 7 years,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good
between 0 and 200,24,existing paid,new car,1246,less 100,less 1 year,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,bad
no checking,12,critical/other existing credit,radio/tv,2331,no known savings,greater 7 years,1,male single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good
no checking,36,delayed previously,radio/tv,4463,less 100,between 1 and 4 years,4,male single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,12,existing paid,radio/tv,776,less 100,between 1 and 4 years,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
less 0,30,existing paid,furniture/equipment,2406,less 100,between 4 and 7 years,4,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad
between 0 and 200,18,existing paid,education,1239,no known savings,between 1 and 4 years,4,male single,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good
greater 200,12,existing paid,radio/tv,3399,no known savings,greater 7 years,2,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
greater 200,12,delayed previously,new car,2247,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
no checking,6,existing paid,furniture/equipment,1766,less 100,between 1 and 4 years,1,male mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,good
less 0,18,existing paid,furniture/equipment,2473,less 100,unemployed,4,male single,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes,bad
no checking,12,existing paid,business,1542,less 100,between 4 and 7 years,2,male single,none,4,car,36,none,own,1,skilled,1,yes,yes,good
no checking,18,critical/other existing credit,used car,3850,less 100,between 4 and 7 years,3,male single,none,1,car,27,none,own,2,skilled,1,none,yes,good
less 0,18,existing paid,furniture/equipment,3650,less 100,less 1 year,1,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,good
less 0,36,existing paid,furniture/equipment,3446,less 100,greater 7 years,4,male single,none,2,car,42,none,own,1,skilled,2,none,yes,bad
between 0 and 200,18,existing paid,furniture/equipment,3001,less 100,between 4 and 7 years,2,female div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,none,yes,good
no checking,36,existing paid,new car,3079,no known savings,between 1 and 4 years,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,6070,less 100,greater 7 years,3,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,good
no checking,10,critical/other existing credit,furniture/equipment,2146,less 100,less 1 year,1,female div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,none,yes,good
