,age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,class
4621,44.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
27831,50.0,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,65.0,United-States,<=50K
27958,52.0,Private,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
23801,48.0,Private,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,>50K
23690,42.0,Self-emp-not-inc,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
23712,45.0,Private,9th,5,Separated,Other-service,Unmarried,Other,Female,0.0,0.0,40.0,Trinadad&Tobago,<=50K
5675,24.0,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
25872,20.0,Local-gov,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
14520,23.0,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
26611,38.0,Private,9th,5,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,Mexico,<=50K
7010,59.0,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
4229,38.0,Private,10th,6,Widowed,Transport-moving,Unmarried,Black,Male,114.0,0.0,40.0,United-States,<=50K
6171,51.0,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
19722,18.0,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16.0,United-States,<=50K
24073,41.0,Self-emp-inc,9th,5,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,70.0,Dominican-Republic,<=50K
12030,55.0,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
16172,28.0,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
5631,37.0,Private,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines,<=50K
4426,60.0,Private,10th,6,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,10.0,United-States,<=50K
29293,37.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40.0,Hong,<=50K
1514,37.0,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0.0,213.0,45.0,United-States,<=50K
15461,22.0,Private,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
7184,19.0,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
22674,17.0,Private,10th,6,Never-married,Other-service,Own-child,White,Female,0.0,0.0,14.0,United-States,<=50K
25051,61.0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
24889,38.0,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,55.0,United-States,<=50K
18303,57.0,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
23992,31.0,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
29738,31.0,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40.0,Vietnam,<=50K
24773,47.0,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,48.0,United-States,>50K
9830,55.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,30.0,United-States,>50K
15802,45.0,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,44.0,United-States,>50K
26586,50.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
16910,60.0,State-gov,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
27917,32.0,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,99.0,United-States,<=50K
21062,46.0,State-gov,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
10062,37.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
12593,55.0,Private,10th,6,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,29.0,United-States,<=50K
2291,27.0,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,9562.0,0.0,50.0,United-States,>50K
15150,29.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
22623,61.0,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
157,28.0,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2339.0,40.0,Canada,<=50K
26873,39.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,60.0,United-States,>50K
5439,19.0,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
17064,20.0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.0,0.0,30.0,United-States,<=50K
26146,21.0,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,<=50K
14246,18.0,Private,12th,8,Never-married,Prof-specialty,Own-child,Other,Male,0.0,0.0,40.0,United-States,<=50K
20640,25.0,Local-gov,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
16806,19.0,Self-emp-not-inc,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
22268,46.0,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,65.0,United-States,>50K
10420,58.0,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
26208,25.0,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,40.0,Mexico,<=50K
6664,18.0,Local-gov,12th,8,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
20697,34.0,Local-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,18.0,United-States,<=50K
29289,38.0,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0.0,0.0,30.0,United-States,>50K
14328,59.0,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0.0,0.0,16.0,United-States,>50K
17618,59.0,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,42.0,United-States,<=50K
28951,27.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28782,27.0,Local-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
25968,22.0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,35.0,United-States,<=50K
14412,45.0,State-gov,Some-college,10,Married-spouse-absent,Other-service,Other-relative,Black,Male,0.0,0.0,40.0,Haiti,<=50K
27962,33.0,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0.0,0.0,40.0,Ecuador,<=50K
6091,26.0,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
15569,40.0,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,35.0,United-States,>50K
9097,23.0,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,0.0,0.0,25.0,United-States,<=50K
4733,29.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,0.0,0.0,40.0,United-States,>50K
16571,27.0,Private,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,46.0,United-States,<=50K
24411,27.0,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
6226,26.0,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K
23604,32.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
26259,90.0,Private,7th-8th,4,Separated,Prof-specialty,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
16513,30.0,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
13652,39.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,30.0,United-States,<=50K
19235,25.0,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,Mexico,<=50K
4065,37.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,2105.0,0.0,50.0,United-States,<=50K
12631,19.0,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
27536,28.0,Private,10th,6,Never-married,Farming-fishing,Other-relative,White,Male,0.0,0.0,35.0,Mexico,<=50K
25227,23.0,Private,12th,8,Never-married,Adm-clerical,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
199,90.0,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0.0,2206.0,40.0,United-States,<=50K
21755,37.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
1604,47.0,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,48.0,United-States,>50K
4081,69.0,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,1848.0,0.0,40.0,United-States,<=50K
28949,25.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
31992,62.0,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,18.0,United-States,<=50K
20800,44.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24812,43.0,State-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24456,40.0,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
29162,41.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
7719,40.0,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
528,35.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,1974.0,40.0,United-States,<=50K
12438,35.0,Private,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
28037,35.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
18519,55.0,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
25657,32.0,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,Columbia,<=50K
7567,48.0,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
7202,63.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,32.0,United-States,<=50K
20017,33.0,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,65.0,United-States,<=50K
16637,48.0,Private,12th,8,Widowed,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,50.0,United-States,<=50K
6874,21.0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,15.0,United-States,<=50K
16997,40.0,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
18393,50.0,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
24502,60.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
11186,40.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
31972,38.0,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
9989,23.0,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
31918,33.0,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,65.0,Japan,>50K
32236,68.0,Private,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
19361,24.0,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,<=50K
31085,53.0,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
7633,17.0,Private,11th,7,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
20760,55.0,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
10656,50.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
17691,48.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,44.0,United-States,>50K
27455,73.0,Private,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,22.0,United-States,>50K
11694,49.0,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
1615,48.0,Private,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,99999.0,0.0,40.0,United-States,>50K
10841,50.0,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
21694,57.0,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
22678,26.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,52.0,United-States,>50K
30878,36.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
2845,45.0,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
7219,22.0,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
10999,24.0,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
22836,35.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
1328,24.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1579.0,50.0,United-States,<=50K
6959,45.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
23907,17.0,Private,11th,7,Never-married,Sales,Own-child,White,Female,0.0,0.0,16.0,United-States,<=50K
1538,47.0,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999.0,0.0,55.0,Taiwan,>50K
13118,55.0,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
13344,39.0,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28365,30.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
15738,25.0,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,38.0,United-States,>50K
23209,30.0,Local-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,25.0,United-States,<=50K
19578,25.0,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
13880,31.0,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
16691,43.0,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
14191,62.0,Federal-gov,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,36.0,United-States,<=50K
19240,50.0,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,70.0,United-States,>50K
13474,28.0,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
21992,37.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
18291,46.0,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
6670,36.0,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
28324,18.0,Private,11th,7,Never-married,Sales,Own-child,Black,Female,0.0,0.0,10.0,United-States,<=50K
17636,46.0,Local-gov,Masters,14,Widowed,Exec-managerial,Unmarried,Black,Female,0.0,0.0,35.0,United-States,<=50K
23469,36.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
22040,85.0,Self-emp-not-inc,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
26031,65.0,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,17.0,United-States,<=50K
2598,54.0,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K
25672,35.0,Federal-gov,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
13797,26.0,Private,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
12978,46.0,Federal-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
7901,24.0,Private,Some-college,10,Separated,Sales,Unmarried,White,Female,0.0,0.0,45.0,United-States,<=50K
22230,58.0,Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,8.0,United-States,<=50K
28935,47.0,Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
14812,27.0,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,<=50K
6631,30.0,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
23231,34.0,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
24326,68.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
19685,38.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
19834,48.0,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
11735,57.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24015,39.0,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
32188,37.0,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
2800,41.0,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,7298.0,0.0,60.0,India,>50K
26239,32.0,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
17597,17.0,Private,10th,6,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,17.0,United-States,<=50K
12771,34.0,Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,United-States,>50K
4105,44.0,Private,Some-college,10,Married-spouse-absent,Craft-repair,Unmarried,White,Female,1506.0,0.0,45.0,United-States,<=50K
26734,51.0,Private,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
23996,43.0,Self-emp-not-inc,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
32130,19.0,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
30191,26.0,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
14298,37.0,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
22842,26.0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
8765,58.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,25.0,United-States,<=50K
19536,43.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.0,United-States,>50K
16625,41.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
29858,28.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,60.0,United-States,<=50K
1232,25.0,Private,10th,6,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,1602.0,40.0,United-States,<=50K
30603,42.0,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
21576,23.0,Private,12th,8,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,46.0,United-States,<=50K
16079,47.0,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,0.0,20.0,Cuba,<=50K
16861,34.0,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0.0,0.0,80.0,United-States,<=50K
903,39.0,Local-gov,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0.0,1876.0,40.0,United-States,<=50K
29309,35.0,Private,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0.0,0.0,50.0,United-States,<=50K
28256,36.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
17556,24.0,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
19858,26.0,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
600,50.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1902.0,40.0,United-States,>50K
18973,39.0,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
31684,24.0,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
11773,41.0,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,70.0,United-States,>50K
9056,60.0,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
17072,24.0,Private,Assoc-voc,11,Never-married,Sales,Unmarried,White,Male,0.0,0.0,5.0,United-States,<=50K
30710,58.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
19405,32.0,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26432,62.0,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
30063,64.0,Local-gov,5th-6th,3,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K
20799,52.0,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0.0,0.0,8.0,Philippines,<=50K
18072,30.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
7911,28.0,Federal-gov,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,48.0,United-States,<=50K
22684,26.0,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
13224,40.0,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
21503,40.0,Private,Masters,14,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
7500,20.0,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,32.0,United-States,<=50K
29541,20.0,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
1224,22.0,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,Black,Male,0.0,1602.0,30.0,United-States,<=50K
1961,61.0,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,20.0,United-States,>50K
1765,66.0,Local-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,20051.0,0.0,35.0,Jamaica,>50K
16084,68.0,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,24.0,United-States,<=50K
5456,39.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
29024,20.0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
31302,63.0,Private,9th,5,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
16602,22.0,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
