,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
152,between 0 and 200,30.0,existing paid,radio/tv,1715.0,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,1.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,good
153,between 0 and 200,6.000000000000002,existing paid,radio/tv,2063.0,less 100,less 1 year,4.0,male mar/wid,none,3.0,car,30.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
154,between 0 and 200,21.0,existing paid,furniture/equipment,3976.0,no known savings,between 4 and 7 years,2.0,male single,none,3.0,car,35.0,none,own,1.0,skilled,1.0,yes,yes,good
155,no checking,24.0,existing paid,new car,1525.0,greater 1000,between 4 and 7 years,4.0,female div/dep/mar,none,3.0,car,34.0,none,own,1.0,skilled,2.0,yes,yes,good
156,less 0,42.0,delayed previously,radio/tv,4370.0,less 100,between 4 and 7 years,3.0,male single,none,2.0,life insurance,26.0,bank,own,2.0,skilled,2.0,yes,yes,bad
157,less 0,42.0,existing paid,radio/tv,3965.0,less 100,less 1 year,4.0,male single,none,3.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,bad
158,no checking,48.0,existing paid,business,4844.0,less 100,unemployed,3.0,male single,none,2.0,car,33.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
159,between 0 and 200,20.0,no credits/all paid,used car,6148.0,between 100 and 500,greater 7 years,3.0,male mar/wid,none,4.0,car,31.0,bank,own,2.0,skilled,1.0,yes,yes,good
160,no checking,36.0,existing paid,education,9055.0,no known savings,between 1 and 4 years,2.0,male single,none,4.0,no known property,35.0,none,for free,1.0,unskilled resident,2.0,yes,yes,good
161,greater 200,24.0,critical/other existing credit,furniture/equipment,3617.0,no known savings,greater 7 years,4.0,male single,co applicant,4.0,no known property,20.0,none,rent,2.0,skilled,1.0,none,yes,good
162,less 0,6.000000000000002,critical/other existing credit,new car,1361.0,less 100,less 1 year,2.0,male single,none,4.0,real estate,40.0,none,own,1.0,unskilled resident,2.0,none,no,good
163,between 0 and 200,48.0,existing paid,new car,6560.0,between 100 and 500,between 4 and 7 years,3.0,male single,none,2.0,life insurance,24.0,none,own,1.0,skilled,1.0,none,yes,bad
164,between 0 and 200,15.0,existing paid,repairs,2631.0,between 100 and 500,between 1 and 4 years,3.0,female div/dep/mar,none,2.0,real estate,25.0,none,own,1.0,unskilled resident,1.0,none,yes,good
165,no checking,15.0,critical/other existing credit,furniture/equipment,3343.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,no known property,28.0,none,for free,1.0,skilled,1.0,yes,yes,good
166,between 0 and 200,45.0,critical/other existing credit,radio/tv,4746.0,less 100,less 1 year,4.0,male single,none,2.0,life insurance,25.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
167,less 0,6.000000000000002,existing paid,domestic appliance,343.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,real estate,27.0,none,own,1.0,skilled,1.0,none,yes,good
168,no checking,12.0,existing paid,new car,2390.0,no known savings,greater 7 years,4.0,male single,none,3.0,car,50.0,none,own,1.0,skilled,1.0,yes,yes,good
169,between 0 and 200,9.0,critical/other existing credit,furniture/equipment,1919.0,less 100,between 4 and 7 years,4.0,male single,none,3.0,car,35.0,none,rent,1.0,skilled,1.0,yes,yes,good
170,less 0,24.0,all paid,used car,3632.0,less 100,between 1 and 4 years,1.0,female div/dep/mar,guarantor,4.0,car,22.0,bank,rent,1.0,skilled,1.0,none,no,good
171,no checking,30.0,existing paid,used car,4811.0,no known savings,between 4 and 7 years,2.0,female div/dep/mar,none,4.0,life insurance,24.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
172,between 0 and 200,10.0,all paid,radio/tv,1048.0,less 100,between 1 and 4 years,4.0,male single,none,4.0,real estate,23.0,stores,own,1.0,unskilled resident,1.0,none,yes,good
173,no checking,9.0,critical/other existing credit,new car,1224.0,less 100,between 1 and 4 years,3.0,male single,none,1.0,real estate,30.0,none,own,2.0,skilled,1.0,none,yes,good
174,less 0,24.0,existing paid,new car,2303.0,less 100,greater 7 years,4.0,male single,co applicant,1.0,real estate,45.0,none,own,1.0,skilled,1.0,none,yes,bad
175,less 0,48.0,existing paid,business,4308.0,less 100,less 1 year,3.0,female div/dep/mar,none,4.0,life insurance,24.0,none,rent,1.0,skilled,1.0,none,yes,bad
176,less 0,12.0,existing paid,furniture/equipment,7865.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,53.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
177,no checking,18.0,critical/other existing credit,furniture/equipment,3780.0,less 100,less 1 year,3.0,male div/sep,none,2.0,car,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
178,greater 200,9.0,no credits/all paid,radio/tv,1337.0,less 100,less 1 year,4.0,male single,none,2.0,car,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
179,between 0 and 200,36.0,no credits/all paid,business,1953.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,61.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
180,no checking,12.0,existing paid,used car,1413.0,greater 1000,between 4 and 7 years,3.0,male single,none,2.0,life insurance,55.0,none,own,1.0,skilled,1.0,none,no,good
181,less 0,18.0,existing paid,furniture/equipment,2473.0,less 100,unemployed,4.0,male single,none,1.0,car,25.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
182,no checking,15.0,existing paid,education,4623.0,between 100 and 500,between 1 and 4 years,3.0,male single,none,2.0,life insurance,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
183,no checking,24.0,critical/other existing credit,furniture/equipment,1585.0000000000002,less 100,between 4 and 7 years,4.0,male single,none,3.0,life insurance,40.0,none,own,2.0,skilled,1.0,none,yes,good
184,less 0,42.0,existing paid,furniture/equipment,7882.0,less 100,between 4 and 7 years,2.0,male single,guarantor,4.0,life insurance,45.0,none,for free,1.0,skilled,2.0,none,yes,good
185,between 0 and 200,9.0,existing paid,furniture/equipment,918.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,1.0,life insurance,30.0,none,own,1.0,skilled,1.0,none,yes,bad
186,no checking,36.0,critical/other existing credit,new car,6614.0,less 100,greater 7 years,4.0,male single,none,4.0,car,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
187,less 0,21.0,delayed previously,education,3414.0,less 100,less 1 year,2.0,male single,none,1.0,life insurance,26.0,none,own,2.0,skilled,1.0,none,yes,bad
188,between 0 and 200,12.0,existing paid,new car,888.0,less 100,greater 7 years,4.0,male single,none,4.0,car,41.0,bank,own,1.0,unskilled resident,2.0,none,yes,bad
189,between 0 and 200,12.0,existing paid,radio/tv,2930.0,less 100,between 4 and 7 years,2.0,female div/dep/mar,none,1.0,real estate,27.0,none,own,1.0,skilled,1.0,none,yes,good
190,no checking,36.0,critical/other existing credit,used car,5711.0,greater 1000,greater 7 years,4.0,male single,none,2.0,car,38.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
191,greater 200,10.0,existing paid,domestic appliance,1225.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,good
192,no checking,12.0,critical/other existing credit,furniture/equipment,3331.0,less 100,greater 7 years,2.0,male single,none,4.0,life insurance,42.0,stores,own,1.0,skilled,1.0,none,yes,good
193,between 0 and 200,18.0,no credits/all paid,furniture/equipment,3244.0,less 100,between 1 and 4 years,1.0,female div/dep/mar,none,4.0,car,33.0,bank,own,2.0,skilled,1.0,yes,yes,good
194,less 0,24.0,existing paid,radio/tv,1987.0,less 100,between 1 and 4 years,2.0,male single,none,4.0,real estate,21.0,none,rent,1.0,unskilled resident,2.0,none,yes,bad
195,no checking,12.0,critical/other existing credit,furniture/equipment,1402.0,between 500 and 1000,between 4 and 7 years,3.0,female div/dep/mar,none,4.0,car,37.0,none,rent,1.0,skilled,1.0,yes,yes,good
196,less 0,36.0,existing paid,new car,3249.0,less 100,between 4 and 7 years,2.0,male single,none,4.0,no known property,39.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
197,no checking,9.0,existing paid,radio/tv,2753.0,between 100 and 500,greater 7 years,3.0,male single,co applicant,4.0,car,35.0,none,own,1.0,skilled,1.0,yes,yes,good
198,less 0,24.0,delayed previously,new car,1333.0,less 100,unemployed,4.0,male single,none,2.0,real estate,43.0,none,for free,2.0,skilled,2.0,none,yes,bad
199,no checking,12.0,critical/other existing credit,education,2096.0,less 100,between 4 and 7 years,2.0,male single,none,3.0,real estate,49.0,none,own,1.0,unskilled resident,2.0,none,yes,good
200,less 0,24.0,existing paid,used car,2924.0,less 100,between 1 and 4 years,3.0,male single,guarantor,4.0,no known property,63.0,bank,own,1.0,skilled,2.0,yes,yes,good
201,no checking,24.0,existing paid,used car,2603.0,greater 1000,between 1 and 4 years,2.0,female div/dep/mar,none,4.0,car,28.0,none,rent,1.0,skilled,1.0,yes,yes,good
202,no checking,15.0,existing paid,furniture/equipment,2186.0,no known savings,between 4 and 7 years,1.0,female div/dep/mar,none,4.0,real estate,33.0,bank,rent,1.0,unskilled resident,1.0,none,yes,good
203,greater 200,42.0,critical/other existing credit,used car,4796.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,56.0,none,for free,1.0,skilled,1.0,none,yes,good
204,between 0 and 200,24.0,existing paid,radio/tv,5084.0,no known savings,greater 7 years,2.0,female div/dep/mar,none,4.0,car,42.0,none,own,1.0,skilled,1.0,yes,yes,good
205,less 0,30.0,existing paid,used car,3857.0,less 100,between 1 and 4 years,4.0,male div/sep,none,4.0,life insurance,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
206,no checking,60.0,critical/other existing credit,new car,13756.0,no known savings,greater 7 years,2.0,male single,none,4.0,no known property,63.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
207,between 0 and 200,15.0,existing paid,radio/tv,802.0,less 100,greater 7 years,4.0,male single,none,3.0,car,37.0,none,own,1.0,skilled,2.0,none,yes,bad
208,less 0,24.0,delayed previously,radio/tv,1659.0,less 100,less 1 year,4.0,female div/dep/mar,none,2.0,car,29.0,none,rent,1.0,unskilled resident,1.0,yes,yes,bad
209,no checking,22.0,existing paid,radio/tv,2675.0,between 500 and 1000,greater 7 years,3.0,male single,none,4.0,car,40.0,none,own,1.0,skilled,1.0,none,yes,good
210,between 0 and 200,24.0,existing paid,furniture/equipment,4351.0,no known savings,between 1 and 4 years,1.0,female div/dep/mar,none,4.0,life insurance,48.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
211,no checking,24.0,delayed previously,business,2978.0,no known savings,between 1 and 4 years,4.0,male single,none,4.0,real estate,32.0,none,own,2.0,skilled,2.0,yes,yes,good
212,greater 200,6.000000000000002,critical/other existing credit,new car,1323.0,between 100 and 500,greater 7 years,2.0,male div/sep,none,4.0,car,28.0,none,own,2.0,skilled,2.0,yes,yes,good
213,less 0,24.0,existing paid,furniture/equipment,7721.0,no known savings,less 1 year,1.0,female div/dep/mar,none,2.0,life insurance,30.0,none,own,1.0,skilled,1.0,yes,no,good
214,no checking,15.0,delayed previously,used car,3594.0,less 100,less 1 year,1.0,female div/dep/mar,none,2.0,life insurance,46.0,none,own,2.0,unskilled resident,1.0,none,yes,good
215,no checking,6.000000000000002,existing paid,furniture/equipment,4611.0,less 100,less 1 year,1.0,female div/dep/mar,none,4.0,life insurance,32.0,none,own,1.0,skilled,1.0,none,yes,bad
216,between 0 and 200,48.0,no credits/all paid,business,14421.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,25.0,none,own,1.0,skilled,1.0,yes,yes,bad
217,less 0,24.0,existing paid,new car,1285.0,no known savings,between 4 and 7 years,4.0,female div/dep/mar,none,4.0,no known property,32.0,none,rent,1.0,skilled,1.0,none,yes,bad
218,less 0,24.0,existing paid,new car,915.0,no known savings,greater 7 years,4.0,female div/dep/mar,none,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,yes,bad
219,between 0 and 200,30.0,delayed previously,radio/tv,1919.0,between 100 and 500,less 1 year,4.0,male single,none,3.0,no known property,30.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
220,between 0 and 200,9.0,existing paid,furniture/equipment,959.0,less 100,between 1 and 4 years,1.0,female div/dep/mar,none,2.0,car,29.0,none,own,1.0,skilled,1.0,none,no,bad
221,no checking,10.0,existing paid,used car,2848.0,between 100 and 500,between 1 and 4 years,1.0,male single,co applicant,2.0,real estate,32.0,none,own,1.0,skilled,2.0,none,yes,good
222,between 0 and 200,12.0,critical/other existing credit,new car,1995.0,between 100 and 500,less 1 year,4.0,male single,none,1.0,car,27.0,none,own,1.0,skilled,1.0,none,yes,good
223,between 0 and 200,26.0,existing paid,used car,7966.0,less 100,less 1 year,2.0,male single,none,3.0,car,30.0,none,own,2.0,skilled,1.0,none,yes,good
224,greater 200,18.0,existing paid,radio/tv,2100.0,less 100,between 1 and 4 years,4.0,male single,co applicant,2.0,real estate,37.0,stores,own,1.0,skilled,1.0,none,yes,bad
225,no checking,6.000000000000002,existing paid,radio/tv,1346.0,between 100 and 500,greater 7 years,2.0,male single,none,4.0,no known property,42.0,bank,for free,1.0,skilled,2.0,yes,yes,good
226,less 0,9.0,existing paid,radio/tv,1364.0,less 100,between 4 and 7 years,3.0,male single,none,4.0,real estate,59.0,none,own,1.0,skilled,1.0,none,yes,good
227,less 0,16.0,critical/other existing credit,new car,2625.0,less 100,greater 7 years,2.0,male single,guarantor,4.0,life insurance,43.0,bank,rent,1.0,skilled,1.0,yes,yes,bad
228,between 0 and 200,21.0,existing paid,business,1187.9999999999998,less 100,greater 7 years,2.0,female div/dep/mar,none,4.0,life insurance,39.0,none,own,1.0,skilled,2.0,none,yes,bad
229,less 0,12.0,existing paid,furniture/equipment,1262.0,no known savings,greater 7 years,2.0,male div/sep,none,4.0,life insurance,49.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
230,no checking,36.0,existing paid,education,1819.0,less 100,between 1 and 4 years,4.0,male single,none,4.0,no known property,37.0,stores,for free,1.0,skilled,1.0,yes,yes,bad
231,no checking,18.0,critical/other existing credit,new car,1028.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,3.0,real estate,36.0,none,own,2.0,skilled,1.0,none,yes,good
232,between 0 and 200,15.0,all paid,new car,6850.0,between 100 and 500,unemployed,1.0,male single,none,2.0,life insurance,34.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
233,less 0,24.0,existing paid,other,1755.0,less 100,greater 7 years,4.0,female div/dep/mar,guarantor,4.0,real estate,58.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
234,greater 200,10.0,existing paid,new car,3949.0,less 100,less 1 year,1.0,male single,guarantor,1.0,life insurance,37.0,none,own,1.0,unskilled resident,2.0,none,yes,good
235,less 0,18.0,critical/other existing credit,furniture/equipment,2124.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,4.0,real estate,24.0,none,rent,2.0,skilled,1.0,none,yes,bad
236,greater 200,10.0,critical/other existing credit,new car,781.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,63.0,none,for free,2.0,skilled,1.0,yes,yes,good
237,no checking,6.000000000000002,all paid,radio/tv,1750.0000000000002,between 500 and 1000,greater 7 years,2.0,male single,none,4.0,life insurance,45.0,bank,own,1.0,unskilled resident,2.0,none,yes,good
238,no checking,18.0,existing paid,radio/tv,4594.0,less 100,less 1 year,3.0,male single,none,2.0,car,32.0,none,own,1.0,skilled,1.0,yes,yes,good
239,less 0,24.0,critical/other existing credit,used car,6615.0,less 100,unemployed,2.0,male single,none,4.0,no known property,75.0,none,for free,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
240,less 0,12.0,existing paid,radio/tv,709.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,57.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
241,greater 200,10.0,critical/other existing credit,radio/tv,1347.0,no known savings,between 4 and 7 years,4.0,male single,none,2.0,life insurance,27.0,none,own,2.0,skilled,1.0,yes,yes,good
242,no checking,36.0,existing paid,business,5742.0,between 100 and 500,between 4 and 7 years,2.0,male single,none,2.0,car,31.0,none,own,2.0,skilled,1.0,yes,yes,good
243,between 0 and 200,30.0,delayed previously,business,2503.0,between 100 and 500,greater 7 years,4.0,male single,none,2.0,life insurance,41.0,stores,own,2.0,skilled,1.0,none,yes,good
244,less 0,18.0,existing paid,new car,976.0,less 100,less 1 year,1.0,female div/dep/mar,none,2.0,car,23.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
245,no checking,15.0,delayed previously,furniture/equipment,960.0,greater 1000,between 4 and 7 years,3.0,female div/dep/mar,none,2.0,life insurance,30.0,none,own,2.0,skilled,1.0,none,yes,good
246,no checking,24.0,existing paid,used car,2670.0,less 100,greater 7 years,4.0,male single,none,4.0,car,35.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
247,less 0,15.0,existing paid,new car,1403.0,less 100,between 1 and 4 years,2.0,female div/dep/mar,none,4.0,car,28.0,none,rent,1.0,skilled,1.0,none,yes,good
248,less 0,30.0,existing paid,furniture/equipment,3108.0,less 100,less 1 year,2.0,male div/sep,none,4.0,life insurance,31.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
249,no checking,24.0,critical/other existing credit,other,6314.0,less 100,unemployed,4.0,male single,co applicant,2.0,no known property,27.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
250,no checking,18.0,all paid,new car,6458.0,less 100,greater 7 years,2.0,male single,none,4.0,no known property,39.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
251,no checking,11.0,existing paid,business,2142.0,greater 1000,greater 7 years,1.0,male div/sep,none,2.0,real estate,28.0,none,own,1.0,skilled,1.0,yes,yes,good
252,no checking,6.000000000000002,existing paid,radio/tv,1595.0,less 100,between 4 and 7 years,3.0,male single,none,2.0,life insurance,51.0,none,own,1.0,skilled,2.0,none,yes,good
253,no checking,15.0,existing paid,radio/tv,1386.0,no known savings,between 1 and 4 years,4.0,male mar/wid,none,2.0,real estate,40.0,none,rent,1.0,skilled,1.0,yes,yes,good
254,no checking,15.0,existing paid,new car,3186.0,greater 1000,between 4 and 7 years,2.0,female div/dep/mar,none,3.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,good
255,between 0 and 200,12.0,existing paid,radio/tv,1567.0,less 100,between 1 and 4 years,1.0,female div/dep/mar,none,1.0,car,22.0,none,own,1.0,skilled,1.0,yes,yes,good
256,between 0 and 200,36.0,delayed previously,business,9857.0,between 100 and 500,between 4 and 7 years,1.0,male single,none,3.0,life insurance,31.0,none,own,2.0,unskilled resident,2.0,yes,yes,good
257,no checking,4.0,critical/other existing credit,radio/tv,1544.0,less 100,between 4 and 7 years,2.0,male single,none,1.0,real estate,42.0,none,own,3.0,unskilled resident,2.0,none,yes,good
258,between 0 and 200,6.000000000000002,delayed previously,business,1449.0,between 100 and 500,greater 7 years,1.0,male div/sep,none,2.0,car,31.0,bank,own,2.0,skilled,2.0,none,yes,good
259,no checking,24.0,critical/other existing credit,new car,1940.0,greater 1000,greater 7 years,4.0,male single,none,4.0,real estate,60.0,none,own,1.0,skilled,1.0,yes,yes,good
260,no checking,18.0,critical/other existing credit,radio/tv,629.0,between 500 and 1000,greater 7 years,4.0,male single,none,3.0,life insurance,32.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
261,less 0,42.0,critical/other existing credit,repairs,3394.0,less 100,unemployed,4.0,male single,co applicant,4.0,car,65.0,none,own,2.0,unemp/unskilled non res,1.0,none,yes,good
262,less 0,12.0,existing paid,furniture/equipment,1282.0,less 100,between 1 and 4 years,2.0,female div/dep/mar,none,4.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,bad
263,between 0 and 200,12.0,existing paid,business,1037.0,between 100 and 500,between 4 and 7 years,3.0,male single,none,4.0,real estate,39.0,none,own,1.0,unskilled resident,1.0,none,yes,good
264,no checking,36.0,existing paid,furniture/equipment,3349.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,28.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
265,less 0,12.0,critical/other existing credit,new car,4843.0,less 100,greater 7 years,3.0,male single,co applicant,4.0,life insurance,43.0,none,rent,2.0,skilled,1.0,yes,yes,bad
266,less 0,27.0,critical/other existing credit,business,2442.0,less 100,greater 7 years,4.0,male single,none,4.0,car,43.0,stores,own,4.0,high qualif/self emp/mgmt,2.0,yes,yes,good
267,no checking,15.0,existing paid,used car,3029.0,less 100,between 4 and 7 years,2.0,male single,none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,good
268,less 0,48.0,critical/other existing credit,used car,6143.0,less 100,greater 7 years,4.0,female div/dep/mar,none,4.0,no known property,58.0,stores,for free,2.0,unskilled resident,1.0,none,yes,bad
269,between 0 and 200,12.0,existing paid,new car,6078.0,less 100,between 4 and 7 years,2.0,male single,none,2.0,car,32.0,none,own,1.0,skilled,1.0,none,yes,good
270,no checking,18.0,delayed previously,furniture/equipment,1808.0,less 100,between 4 and 7 years,4.0,female div/dep/mar,none,1.0,real estate,22.0,none,own,1.0,skilled,1.0,none,yes,bad
271,less 0,24.0,critical/other existing credit,used car,6419.0,less 100,greater 7 years,2.0,female div/dep/mar,none,4.0,no known property,44.0,none,for free,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
272,less 0,24.0,existing paid,radio/tv,1282.0,between 100 and 500,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,32.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
273,between 0 and 200,45.0,critical/other existing credit,used car,4576.0,between 100 and 500,unemployed,3.0,male single,none,4.0,car,27.0,none,own,1.0,skilled,1.0,none,yes,good
274,between 0 and 200,18.0,existing paid,education,1238.9999999999998,no known savings,between 1 and 4 years,4.0,male single,none,4.0,no known property,61.0,none,for free,1.0,skilled,1.0,none,yes,good
275,less 0,30.0,existing paid,furniture/equipment,3622.0,greater 1000,greater 7 years,4.0,female div/dep/mar,none,4.0,life insurance,57.0,none,rent,2.0,skilled,1.0,yes,yes,good
276,between 0 and 200,9.0,existing paid,new car,275.99999999999955,less 100,between 1 and 4 years,4.0,male mar/wid,none,4.0,real estate,22.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
277,less 0,13.0,critical/other existing credit,business,1797.0,less 100,less 1 year,3.0,male single,none,1.0,life insurance,28.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
278,between 0 and 200,12.0,existing paid,retraining,754.0,no known savings,greater 7 years,4.0,male single,none,4.0,life insurance,38.0,none,own,2.0,skilled,1.0,none,yes,good
279,between 0 and 200,10.0,existing paid,new car,7308.0,less 100,unemployed,2.0,male single,none,4.0,no known property,70.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
280,less 0,30.0,existing paid,furniture/equipment,6350.0,no known savings,greater 7 years,4.0,male single,none,4.0,life insurance,31.0,none,own,1.0,skilled,1.0,none,yes,bad
281,no checking,27.0,delayed previously,used car,8613.0,greater 1000,between 1 and 4 years,2.0,male single,none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,good
282,less 0,21.0,existing paid,new car,3763.0,no known savings,between 4 and 7 years,2.0,male single,co applicant,2.0,real estate,24.0,none,own,1.0,unskilled resident,1.0,none,no,good
283,between 0 and 200,12.0,critical/other existing credit,new car,958.0,less 100,between 4 and 7 years,2.0,male single,none,3.0,real estate,47.0,none,own,2.0,unskilled resident,2.0,none,yes,good
284,no checking,12.0,existing paid,furniture/equipment,763.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,1.0,real estate,26.0,none,own,1.0,skilled,1.0,yes,yes,good
285,no checking,15.0,existing paid,radio/tv,1979.0,no known savings,greater 7 years,4.0,male single,none,2.0,car,35.0,none,own,1.0,skilled,1.0,none,yes,good
286,between 0 and 200,48.0,no credits/all paid,business,3844.0,between 100 and 500,between 4 and 7 years,4.0,male single,none,4.0,no known property,34.0,none,for free,1.0,unskilled resident,2.0,none,yes,bad
287,less 0,12.0,critical/other existing credit,new car,3499.0,less 100,between 1 and 4 years,3.0,female div/dep/mar,co applicant,2.0,real estate,29.0,none,own,2.0,skilled,1.0,none,yes,bad
288,less 0,21.0,existing paid,radio/tv,2606.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,life insurance,28.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
289,less 0,12.0,existing paid,radio/tv,1680.0,between 500 and 1000,greater 7 years,3.0,male mar/wid,none,1.0,real estate,35.0,none,own,1.0,skilled,1.0,none,yes,good
290,between 0 and 200,18.0,existing paid,business,4439.0,less 100,greater 7 years,1.0,male single,co applicant,1.0,real estate,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
291,no checking,6.000000000000002,critical/other existing credit,radio/tv,1740.0,less 100,greater 7 years,2.0,male mar/wid,none,2.0,real estate,30.0,none,rent,2.0,skilled,1.0,none,yes,good
292,no checking,12.0,critical/other existing credit,furniture/equipment,1935.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,43.0,none,own,3.0,skilled,1.0,yes,yes,good
293,no checking,18.0,existing paid,repairs,1943.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.0,none,own,1.0,skilled,1.0,none,yes,bad
294,greater 200,9.0,existing paid,radio/tv,745.0,less 100,between 1 and 4 years,3.0,female div/dep/mar,none,2.0,real estate,28.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
295,no checking,21.0,existing paid,business,1572.0000000000002,greater 1000,greater 7 years,4.0,female div/dep/mar,none,4.0,real estate,36.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
296,no checking,15.0,critical/other existing credit,furniture/equipment,2788.0,less 100,between 4 and 7 years,2.0,female div/dep/mar,co applicant,3.0,car,24.0,bank,own,2.0,skilled,1.0,none,yes,good
297,between 0 and 200,12.0,existing paid,radio/tv,1484.0,no known savings,between 1 and 4 years,2.0,male mar/wid,none,1.0,real estate,25.0,none,own,1.0,skilled,1.0,yes,yes,bad
298,between 0 and 200,60.0,delayed previously,radio/tv,9157.0,no known savings,between 1 and 4 years,2.0,male single,none,2.0,no known property,27.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
299,no checking,12.0,critical/other existing credit,radio/tv,1934.0,less 100,greater 7 years,2.0,male single,none,2.0,no known property,26.0,none,own,2.0,skilled,1.0,none,yes,good
300,less 0,9.0,critical/other existing credit,radio/tv,1137.9999999999998,less 100,between 1 and 4 years,4.0,male single,none,4.0,real estate,25.0,none,own,2.0,unskilled resident,1.0,none,yes,good
301,between 0 and 200,12.0,existing paid,new car,1223.0,less 100,greater 7 years,1.0,male div/sep,none,1.0,real estate,46.0,none,rent,2.0,skilled,1.0,none,yes,bad
302,less 0,18.0,existing paid,furniture/equipment,3650.0,less 100,less 1 year,1.0,female div/dep/mar,none,4.0,car,22.0,none,rent,1.0,skilled,1.0,none,yes,good
303,less 0,24.0,critical/other existing credit,business,1382.0000000000002,between 100 and 500,between 4 and 7 years,4.0,male single,none,1.0,real estate,26.0,none,own,2.0,skilled,1.0,yes,yes,good
304,between 0 and 200,18.0,existing paid,radio/tv,866.0,less 100,between 1 and 4 years,4.0,male mar/wid,guarantor,2.0,real estate,25.0,none,own,1.0,unskilled resident,1.0,none,yes,good
